education_score,coastal_detailed,town_size,coastal_type
2.385815574,Smaller non-coastal town,Small,Non-coastal
0.201122502,Smaller non-coastal town,Small,Non-coastal
4.995673342,Smaller non-coastal town,Small,Non-coastal
-4.069808241,Smaller non-coastal town,Small,Non-coastal
3.26125954,Smaller non-coastal town,Small,Non-coastal
-0.978485426,Large seaside town,Large,Seaside
0.070505385,Smaller non-coastal town,Small,Non-coastal
-3.483361212,Large non-coastal town,Large,Non-coastal
1.231928342,Smaller non-coastal town,Small,Non-coastal
2.237234508,Large non-coastal town,Large,Non-coastal
8.473642984,Smaller non-coastal town,Small,Non-coastal
-0.649945761,Smaller seaside town,Small,Seaside
-4.920676695,Smaller non-coastal town,Small,Non-coastal
-1.458694426,Smaller non-coastal town,Small,Non-coastal
-1.178336473,Large non-coastal town,Large,Non-coastal
-5.449297195,Smaller non-coastal town,Small,Non-coastal
-0.392386733,Large other coastal town,Large,Other coastal
0.665368332,Large non-coastal town,Large,Non-coastal
5.584874286,Large non-coastal town,Large,Non-coastal
2.073259572,Large non-coastal town,Large,Non-coastal
-1.443434467,Cities,Large,Other coastal
-1.847393715,Large non-coastal town,Large,Non-coastal
0.032916434,Smaller other coastal town,Small,Other coastal
-3.411047708,Smaller non-coastal town,Small,Non-coastal
-3.205253713,Smaller non-coastal town,Small,Non-coastal
5.155674387,Smaller non-coastal town,Small,Non-coastal
-1.908467207,Cities,Large,Other coastal
5.195171433,Large non-coastal town,Large,Non-coastal
0.916562557,Smaller non-coastal town,Small,Non-coastal
-0.395418516,Large non-coastal town,Large,Non-coastal
5.8087493,Large non-coastal town,Large,Non-coastal
-0.461972757,Smaller other coastal town,Small,Other coastal
1.890288135,Smaller non-coastal town,Small,Non-coastal
1.703262001,Smaller non-coastal town,Small,Non-coastal
-2.625444358,Large non-coastal town,Large,Non-coastal
-0.145896397,Large non-coastal town,Large,Non-coastal
-1.835384484,Large seaside town,Large,Seaside
-3.251116087,Large non-coastal town,Large,Non-coastal
0.038020156,Large non-coastal town,Large,Non-coastal
-1.693627963,Large other coastal town,Large,Other coastal
-1.391006749,Smaller non-coastal town,Small,Non-coastal
6.202010294,Large non-coastal town,Large,Non-coastal
-0.315461471,Large non-coastal town,Large,Non-coastal
1.949313365,Large non-coastal town,Large,Non-coastal
-2.333315523,Large non-coastal town,Large,Non-coastal
-3.37095575,Large non-coastal town,Large,Non-coastal
0.420375669,Large non-coastal town,Large,Non-coastal
-1.278183798,Large non-coastal town,Large,Non-coastal
5.694851601,Smaller non-coastal town,Small,Non-coastal
2.101644111,Large non-coastal town,Large,Non-coastal
-3.503505917,Cities,Large,Other coastal
1.179483614,Large non-coastal town,Large,Non-coastal
-0.044013779,Large non-coastal town,Large,Non-coastal
-4.063383026,Smaller non-coastal town,Small,Non-coastal
-1.695798977,Large non-coastal town,Large,Non-coastal
3.419350142,Large non-coastal town,Large,Non-coastal
4.482291861,Large non-coastal town,Large,Non-coastal
-1.907327933,Large non-coastal town,Large,Non-coastal
0.795862772,Smaller non-coastal town,Small,Non-coastal
5.864021688,Large non-coastal town,Large,Non-coastal
-1.21953945,Large non-coastal town,Large,Non-coastal
2.607961881,Smaller non-coastal town,Small,Non-coastal
-4.196862089,Large non-coastal town,Large,Non-coastal
-1.678143653,Large non-coastal town,Large,Non-coastal
-7.104299744,Smaller non-coastal town,Small,Non-coastal
-2.864618092,Large non-coastal town,Large,Non-coastal
-3.105063727,Smaller non-coastal town,Small,Non-coastal
-0.113529264,Large non-coastal town,Large,Non-coastal
5.539858751,Large non-coastal town,Large,Non-coastal
-6.037043767,Smaller other coastal town,Small,Other coastal
8.687991592,Smaller non-coastal town,Small,Non-coastal
-0.807955472,Large non-coastal town,Large,Non-coastal
-2.868483853,Cities,Large,Other coastal
-2.362019947,Large non-coastal town,Large,Non-coastal
-0.337151444,Large non-coastal town,Large,Non-coastal
9.301347301,Smaller non-coastal town,Small,Non-coastal
-1.399291373,Large seaside town,Large,Seaside
-1.167026008,Large non-coastal town,Large,Non-coastal
-5.403816227,Smaller non-coastal town,Small,Non-coastal
3.797861349,Smaller non-coastal town,Small,Non-coastal
-0.014243504,Large non-coastal town,Large,Non-coastal
-1.551539762,Large non-coastal town,Large,Non-coastal
3.708287406,Large non-coastal town,Large,Non-coastal
-2.178895241,Large non-coastal town,Large,Non-coastal
-4.05106543,Large non-coastal town,Large,Non-coastal
-4.836415788,Smaller non-coastal town,Small,Non-coastal
-3.005746412,Cities,Large,Other coastal
-1.843068303,Large non-coastal town,Large,Non-coastal
-1.499777889,Large non-coastal town,Large,Non-coastal
-2.833260415,Large other coastal town,Large,Other coastal
-1.845804349,Large non-coastal town,Large,Non-coastal
-3.311315437,Cities,Large,Other coastal
-5.304883474,Large non-coastal town,Large,Non-coastal
2.956932707,Large non-coastal town,Large,Non-coastal
-0.607509386,Large non-coastal town,Large,Non-coastal
-2.380949821,Smaller non-coastal town,Small,Non-coastal
-4.524893803,Large seaside town,Large,Seaside
0.87953903,Large non-coastal town,Large,Non-coastal
-0.019761952,Large non-coastal town,Large,Non-coastal
6.194485959,Smaller non-coastal town,Small,Non-coastal
-1.69002387,Large non-coastal town,Large,Non-coastal
6.08208782,Large non-coastal town,Large,Non-coastal
-2.933200988,Large non-coastal town,Large,Non-coastal
2.260009885,Smaller non-coastal town,Small,Non-coastal
3.867275387,Smaller non-coastal town,Small,Non-coastal
-5.41965103,Large non-coastal town,Large,Non-coastal
1.754186025,Large non-coastal town,Large,Non-coastal
1.42390104,Smaller non-coastal town,Small,Non-coastal
0.94857465,Large non-coastal town,Large,Non-coastal
8.401826191,Smaller non-coastal town,Small,Non-coastal
-4.430811734,Smaller non-coastal town,Small,Non-coastal
-2.772802761,Large non-coastal town,Large,Non-coastal
-7.275898747,Smaller non-coastal town,Small,Non-coastal
2.051194602,Smaller non-coastal town,Small,Non-coastal
4.063559848,Smaller non-coastal town,Small,Non-coastal
3.941592707,Large non-coastal town,Large,Non-coastal
0.812772287,Large non-coastal town,Large,Non-coastal
2.864376637,Large non-coastal town,Large,Non-coastal
1.810213402,Smaller non-coastal town,Small,Non-coastal
-3.075401189,Smaller non-coastal town,Small,Non-coastal
-0.192779991,Large non-coastal town,Large,Non-coastal
-3.134681857,Large non-coastal town,Large,Non-coastal
-2.608572746,Large non-coastal town,Large,Non-coastal
1.184695615,Large non-coastal town,Large,Non-coastal
0.707683043,Large non-coastal town,Large,Non-coastal
-4.509175593,Cities,Large,Other coastal
-0.921340992,Large non-coastal town,Large,Non-coastal
0.939761686,Large non-coastal town,Large,Non-coastal
-4.248263303,Large seaside town,Large,Seaside
-4.513907919,Cities,Large,Other coastal
-1.370497847,Large seaside town,Large,Seaside
-4.230230033,Large other coastal town,Large,Other coastal
4.226679705,Smaller non-coastal town,Small,Non-coastal
-1.649922599,Large seaside town,Large,Seaside
1.863838366,Large non-coastal town,Large,Non-coastal
1.848750453,Large non-coastal town,Large,Non-coastal
0.105832143,Large non-coastal town,Large,Non-coastal
0.269932299,Large non-coastal town,Large,Non-coastal
-1.622388812,Smaller non-coastal town,Small,Non-coastal
-2.558529299,Large non-coastal town,Large,Non-coastal
-0.307191378,Large non-coastal town,Large,Non-coastal
-3.030755738,Cities,Large,Other coastal
-2.974283833,Large non-coastal town,Large,Non-coastal
-3.775531531,Cities,Large,Other coastal
-3.510452167,Large non-coastal town,Large,Non-coastal
1.845068827,Large non-coastal town,Large,Non-coastal
-1.80935831,Smaller non-coastal town,Small,Non-coastal
3.478766662,Smaller non-coastal town,Small,Non-coastal
1.887360609,Large non-coastal town,Large,Non-coastal
-0.646814835,Large non-coastal town,Large,Non-coastal
-2.725442527,Large non-coastal town,Large,Non-coastal
5.85280724,Large non-coastal town,Large,Non-coastal
-2.735907801,Large non-coastal town,Large,Non-coastal
5.578225985,Smaller non-coastal town,Small,Non-coastal
1.590340639,Large non-coastal town,Large,Non-coastal
1.065438284,Large non-coastal town,Large,Non-coastal
-0.422807617,Large other coastal town,Large,Other coastal
-3.910234467,Large non-coastal town,Large,Non-coastal
-0.347520473,Large non-coastal town,Large,Non-coastal
-2.106119887,Cities,Large,Other coastal
2.520143131,Smaller non-coastal town,Small,Non-coastal
0.535576067,Smaller non-coastal town,Small,Non-coastal
-6.719105219,Large seaside town,Large,Seaside
-0.572707818,Large non-coastal town,Large,Non-coastal
-0.730646543,Large non-coastal town,Large,Non-coastal
-2.719940087,Large non-coastal town,Large,Non-coastal
1.662574397,Large non-coastal town,Large,Non-coastal
4.536116811,Smaller non-coastal town,Small,Non-coastal
3.382407391,Large non-coastal town,Large,Non-coastal
-4.122655533,Smaller other coastal town,Small,Other coastal
6.131528057,Smaller non-coastal town,Small,Non-coastal
8.608192498,Smaller seaside town,Small,Seaside
-1.69358297,Cities,Large,Other coastal
1.641847199,Large non-coastal town,Large,Non-coastal
0.54457022,Large non-coastal town,Large,Non-coastal
-4.786682178,Smaller non-coastal town,Small,Non-coastal
-8.709049788,Smaller non-coastal town,Small,Non-coastal
-2.322986391,Large non-coastal town,Large,Non-coastal
-0.181586177,Smaller non-coastal town,Small,Non-coastal
0.495638768,Large non-coastal town,Large,Non-coastal
1.415224113,Smaller non-coastal town,Small,Non-coastal
-2.221002178,Large non-coastal town,Large,Non-coastal
-4.322467679,Large non-coastal town,Large,Non-coastal
0.79431068,Large non-coastal town,Large,Non-coastal
5.236373241,Smaller non-coastal town,Small,Non-coastal
-5.232152906,Large non-coastal town,Large,Non-coastal
-1.450462853,Large seaside town,Large,Seaside
-2.138374166,Cities,Large,Other coastal
-1.598266913,Cities,Large,Other coastal
-2.499399669,Smaller non-coastal town,Small,Non-coastal
-1.889132946,Large non-coastal town,Large,Non-coastal
0.625556623,Large non-coastal town,Large,Non-coastal
-5.607341942,Smaller seaside town,Small,Seaside
1.211654963,Large non-coastal town,Large,Non-coastal
-2.026479746,Smaller non-coastal town,Small,Non-coastal
6.106349368,Large non-coastal town,Large,Non-coastal
1.695496391,Large non-coastal town,Large,Non-coastal
0.670209623,Large non-coastal town,Large,Non-coastal
-0.814707483,Smaller non-coastal town,Small,Non-coastal
1.270060363,Large non-coastal town,Large,Non-coastal
-2.006579212,Smaller non-coastal town,Small,Non-coastal
8.137930036,Large non-coastal town,Large,Non-coastal
-0.911150371,Smaller non-coastal town,Small,Non-coastal
5.360138644,Smaller non-coastal town,Small,Non-coastal
4.140431579,Large non-coastal town,Large,Non-coastal
7.06093098,Smaller non-coastal town,Small,Non-coastal
-7.336425751,Smaller other coastal town,Small,Other coastal
-2.294227405,Large non-coastal town,Large,Non-coastal
-0.237026997,Large non-coastal town,Large,Non-coastal
-3.027107029,Large non-coastal town,Large,Non-coastal
5.606123897,Large non-coastal town,Large,Non-coastal
-1.216291898,Smaller non-coastal town,Small,Non-coastal
1.087110993,Large non-coastal town,Large,Non-coastal
-2.140764342,Large non-coastal town,Large,Non-coastal
-0.934913142,Large non-coastal town,Large,Non-coastal
-2.146896435,Large non-coastal town,Large,Non-coastal
-3.907574596,Large seaside town,Large,Seaside
-1.750225905,Large non-coastal town,Large,Non-coastal
-4.396909731,Smaller non-coastal town,Small,Non-coastal
-0.892601732,Large non-coastal town,Large,Non-coastal
-0.301092555,Smaller non-coastal town,Small,Non-coastal
-3.678350423,Large non-coastal town,Large,Non-coastal
-0.246790008,Large non-coastal town,Large,Non-coastal
-2.008851089,Smaller non-coastal town,Small,Non-coastal
-0.801266586,Large non-coastal town,Large,Non-coastal
0.39812194,Large non-coastal town,Large,Non-coastal
-3.653296949,Smaller non-coastal town,Small,Non-coastal
-3.594334095,Large seaside town,Large,Seaside
4.813053992,Smaller non-coastal town,Small,Non-coastal
1.163167949,Smaller non-coastal town,Small,Non-coastal
-0.88303807,Large non-coastal town,Large,Non-coastal
0.671596851,Smaller non-coastal town,Small,Non-coastal
-1.30671782,Smaller non-coastal town,Small,Non-coastal
-3.688235156,Smaller non-coastal town,Small,Non-coastal
-2.214736577,Cities,Large,Other coastal
5.203911561,Smaller non-coastal town,Small,Non-coastal
-2.089855549,Large seaside town,Large,Seaside
0.435286387,Large non-coastal town,Large,Non-coastal
-5.445295263,Smaller seaside town,Small,Seaside
-4.220376739,Large other coastal town,Large,Other coastal
4.453122958,Smaller other coastal town,Small,Other coastal
-2.41757272,Large non-coastal town,Large,Non-coastal
-4.095912481,Smaller non-coastal town,Small,Non-coastal
-3.782993531,Smaller non-coastal town,Small,Non-coastal
-2.169529438,Large seaside town,Large,Seaside
-0.734586109,Smaller non-coastal town,Small,Non-coastal
3.357512952,Large non-coastal town,Large,Non-coastal
-3.484130585,Large non-coastal town,Large,Non-coastal
5.319393171,Large seaside town,Large,Seaside
-2.359151642,Large non-coastal town,Large,Non-coastal
-4.984540922,Large non-coastal town,Large,Non-coastal
-1.510543843,Smaller non-coastal town,Small,Non-coastal
-1.920184466,Large non-coastal town,Large,Non-coastal
-2.501696064,Large non-coastal town,Large,Non-coastal
4.452360301,Large non-coastal town,Large,Non-coastal
9.860231636,Smaller non-coastal town,Small,Non-coastal
0.399812927,Large non-coastal town,Large,Non-coastal
2.486984227,Large non-coastal town,Large,Non-coastal
1.564259381,Smaller non-coastal town,Small,Non-coastal
1.266553731,Large non-coastal town,Large,Non-coastal
0.341824042,Large non-coastal town,Large,Non-coastal
-0.29414288,Large non-coastal town,Large,Non-coastal
-0.81093526,Large non-coastal town,Large,Non-coastal
