education_score,coastal_detailed,town_size,coastal_type
-1.496422044,Smaller non-coastal town,Small,Non-coastal
3.61707852,Smaller non-coastal town,Small,Non-coastal
3.664639326,Smaller non-coastal town,Small,Non-coastal
-0.263818577,Smaller non-coastal town,Small,Non-coastal
4.165594223,Smaller non-coastal town,Small,Non-coastal
3.85144957,Smaller other coastal town,Small,Other coastal
-1.289171902,Smaller non-coastal town,Small,Non-coastal
-4.688911753,Smaller non-coastal town,Small,Non-coastal
6.977287881,Smaller non-coastal town,Small,Non-coastal
7.226617063,Smaller non-coastal town,Small,Non-coastal
-2.518701836,Large non-coastal town,Large,Non-coastal
2.64463959,Smaller other coastal town,Small,Other coastal
-2.213822897,Smaller non-coastal town,Small,Non-coastal
-0.144563264,Smaller non-coastal town,Small,Non-coastal
1.619693343,Smaller other coastal town,Small,Other coastal
1.577351621,Smaller non-coastal town,Small,Non-coastal
5.29425431,Large non-coastal town,Large,Non-coastal
0.210796382,Smaller non-coastal town,Small,Non-coastal
-2.093097462,Large seaside town,Large,Seaside
-3.138242326,Large non-coastal town,Large,Non-coastal
0.668924889,Large non-coastal town,Large,Non-coastal
-0.20031761,Large non-coastal town,Large,Non-coastal
2.76260053,Large non-coastal town,Large,Non-coastal
-2.030138243,Large non-coastal town,Large,Non-coastal
6.078762266,Smaller non-coastal town,Small,Non-coastal
4.724757799,Large non-coastal town,Large,Non-coastal
4.543595327,Smaller non-coastal town,Small,Non-coastal
-3.782613636,Smaller non-coastal town,Small,Non-coastal
-1.389753081,Large non-coastal town,Large,Non-coastal
-2.582295807,Smaller non-coastal town,Small,Non-coastal
-6.402588954,Smaller non-coastal town,Small,Non-coastal
-0.003561658,Large non-coastal town,Large,Non-coastal
0.34501103,Smaller non-coastal town,Small,Non-coastal
1.418465375,Smaller non-coastal town,Small,Non-coastal
3.266720159,Large non-coastal town,Large,Non-coastal
6.310770217,Smaller non-coastal town,Small,Non-coastal
0.516037835,Large non-coastal town,Large,Non-coastal
-1.224758485,Large non-coastal town,Large,Non-coastal
9.278331945,Smaller non-coastal town,Small,Non-coastal
0.543713177,Smaller non-coastal town,Small,Non-coastal
7.639190791,Smaller non-coastal town,Small,Non-coastal
-0.934462623,Smaller non-coastal town,Small,Non-coastal
0.579966036,Large non-coastal town,Large,Non-coastal
-2.439171484,Smaller non-coastal town,Small,Non-coastal
-1.713020244,Smaller non-coastal town,Small,Non-coastal
0.956416398,Smaller non-coastal town,Small,Non-coastal
-5.396252285,Large seaside town,Large,Seaside
8.212058793,Smaller non-coastal town,Small,Non-coastal
-1.646120303,Smaller seaside town,Small,Seaside
0.137847463,Smaller non-coastal town,Small,Non-coastal
-2.198733131,Smaller non-coastal town,Small,Non-coastal
-2.359283201,Smaller non-coastal town,Small,Non-coastal
3.256692068,Smaller non-coastal town,Small,Non-coastal
0.007992804,Smaller seaside town,Small,Seaside
-2.06492402,Large non-coastal town,Large,Non-coastal
2.22129998,Smaller non-coastal town,Small,Non-coastal
0.274278812,Large non-coastal town,Large,Non-coastal
-0.062317391,Large non-coastal town,Large,Non-coastal
4.216899186,Smaller non-coastal town,Small,Non-coastal
4.588403915,Large non-coastal town,Large,Non-coastal
-2.084542454,Large non-coastal town,Large,Non-coastal
-2.554599143,Smaller non-coastal town,Small,Non-coastal
1.494028346,Smaller non-coastal town,Small,Non-coastal
4.329882844,Smaller non-coastal town,Small,Non-coastal
2.961247974,Smaller non-coastal town,Small,Non-coastal
9.436415769,Smaller non-coastal town,Small,Non-coastal
9.481922058,Smaller non-coastal town,Small,Non-coastal
-0.64520719,Smaller non-coastal town,Small,Non-coastal
-1.572479804,Large seaside town,Large,Seaside
0.297788337,Smaller seaside town,Small,Seaside
-1.360599159,Large non-coastal town,Large,Non-coastal
-5.914195291,Large non-coastal town,Large,Non-coastal
-1.012782303,Smaller non-coastal town,Small,Non-coastal
3.101443415,Large non-coastal town,Large,Non-coastal
1.676588847,Large non-coastal town,Large,Non-coastal
-0.639161991,Large non-coastal town,Large,Non-coastal
-4.213214985,Smaller non-coastal town,Small,Non-coastal
-2.782262982,Large non-coastal town,Large,Non-coastal
-0.137521472,Smaller non-coastal town,Small,Non-coastal
-2.122974794,Large non-coastal town,Large,Non-coastal
1.302890147,Smaller non-coastal town,Small,Non-coastal
2.580287156,Large non-coastal town,Large,Non-coastal
-0.338993657,Large non-coastal town,Large,Non-coastal
-1.58142348,Smaller non-coastal town,Small,Non-coastal
-0.986711753,Smaller non-coastal town,Small,Non-coastal
-1.656571902,Large non-coastal town,Large,Non-coastal
-1.085901732,Large non-coastal town,Large,Non-coastal
-2.156351207,Smaller non-coastal town,Small,Non-coastal
-1.206411528,Smaller non-coastal town,Small,Non-coastal
3.840141386,Smaller non-coastal town,Small,Non-coastal
-1.811253124,Large non-coastal town,Large,Non-coastal
-1.425647801,Smaller non-coastal town,Small,Non-coastal
-2.180692894,Smaller non-coastal town,Small,Non-coastal
8.063923033,Smaller non-coastal town,Small,Non-coastal
6.056482702,Large non-coastal town,Large,Non-coastal
0.879268136,Smaller non-coastal town,Small,Non-coastal
-3.973907614,Large non-coastal town,Large,Non-coastal
3.16352695,Smaller non-coastal town,Small,Non-coastal
4.068887671,Large non-coastal town,Large,Non-coastal
6.779463444,Smaller non-coastal town,Small,Non-coastal
0.284171701,Large non-coastal town,Large,Non-coastal
2.878987054,Large other coastal town,Large,Other coastal
-3.240896417,Smaller non-coastal town,Small,Non-coastal
-2.756130842,Large non-coastal town,Large,Non-coastal
0.666461582,Cities,Large,Other coastal
6.029443478,Smaller non-coastal town,Small,Non-coastal
-3.974575654,Large non-coastal town,Large,Non-coastal
1.762950972,Smaller non-coastal town,Small,Non-coastal
-1.577901901,Large non-coastal town,Large,Non-coastal
1.73714735,Large non-coastal town,Large,Non-coastal
2.397830523,Large non-coastal town,Large,Non-coastal
-0.62557946,Large other coastal town,Large,Other coastal
2.727162075,Smaller non-coastal town,Small,Non-coastal
-3.209162913,Large non-coastal town,Large,Non-coastal
-0.300604437,Smaller non-coastal town,Small,Non-coastal
5.520220795,Smaller non-coastal town,Small,Non-coastal
-5.195221651,Smaller non-coastal town,Small,Non-coastal
-3.054432815,Smaller non-coastal town,Small,Non-coastal
-0.16735383,Large non-coastal town,Large,Non-coastal
-0.396774338,Smaller non-coastal town,Small,Non-coastal
-4.369479427,Smaller non-coastal town,Small,Non-coastal
-2.491062456,Large non-coastal town,Large,Non-coastal
-0.711623244,Large non-coastal town,Large,Non-coastal
8.023612449,Smaller non-coastal town,Small,Non-coastal
-0.02223226,Large non-coastal town,Large,Non-coastal
-2.256889066,Smaller other coastal town,Small,Other coastal
5.793173582,Large non-coastal town,Large,Non-coastal
-6.351488055,Large non-coastal town,Large,Non-coastal
5.065109445,Smaller non-coastal town,Small,Non-coastal
3.95902288,Smaller non-coastal town,Small,Non-coastal
1.543776057,Smaller non-coastal town,Small,Non-coastal
6.903651622,Smaller non-coastal town,Small,Non-coastal
